2022-05-17 00:49:46.029 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionAttributeSource'
2022-05-17 00:49:46.030 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionInterceptor'
2022-05-17 00:49:46.040 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'customizeExceptionHandler'
2022-05-17 00:49:46.044 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'hotTagCache'
2022-05-17 00:49:46.047 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'authorizeController'
2022-05-17 00:49:46.052 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'giteeProvider'
2022-05-17 00:49:46.056 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.client.id' in PropertySource 'configurationProperties' with value of type String
2022-05-17 00:49:46.056 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.client.id' in PropertySource 'environmentProperties' with value of type String
2022-05-17 00:49:46.057 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.client.secret' in PropertySource 'configurationProperties' with value of type String
2022-05-17 00:49:46.058 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.client.secret' in PropertySource 'environmentProperties' with value of type String
2022-05-17 00:49:46.059 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.redirect.uri' in PropertySource 'configurationProperties' with value of type String
2022-05-17 00:49:46.059 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.redirect.uri' in PropertySource 'environmentProperties' with value of type String
2022-05-17 00:49:46.062 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.client.id' in PropertySource 'configurationProperties' with value of type String
2022-05-17 00:49:46.062 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.client.id' in PropertySource 'environmentProperties' with value of type String
2022-05-17 00:49:46.063 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.client.secret' in PropertySource 'configurationProperties' with value of type String
2022-05-17 00:49:46.063 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.client.secret' in PropertySource 'environmentProperties' with value of type String
2022-05-17 00:49:46.063 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.redirect.uri' in PropertySource 'configurationProperties' with value of type String
2022-05-17 00:49:46.064 DEBUG 5580 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'gitee.redirect.uri' in PropertySource 'environmentProperties' with value of type String
